203504, "VP1d dlALT PN 71750 ARH-NM"
400943, "PN glomerulus VC3m 24596 BH"
581536, "PN glomerulus DL3 47095 JMR"
755022, "PN glomerulus DA1 57358 IJA"
771242, "PN glomerulus DC1 23665 AA"
775731, "PN glomerulus VM1 39831 JMR"
1149173, "VP4 PN t5ALT mlALT 282136 RJVR ECM"
1530770, "MB-CP2 SCL fragment 68908"
1775706, "PN glomerulus DL1 22153 JMR"
1785034, "PN glomerulus DA2 57399 LK"
2737958, "MB-CP2 dAC fragment 68908"
2738003, "MB-CP2 main calyx fragment (3 of 3) 68908"
2738059, "MB-CP2 main calyx fragment (2 of 3) 68908"
2738075, "MB-CP2 PLP fragment 68908"
2738093, "MB-CP2 LH & SLP fragment 68908"
2738104, "MB-CP2 main calyx fragment (1 of 3) 68908"
2738128, "MB-CP2 antler fragment  68908"
2863104, "PN glomerulus DA1 57316 ML 2863105"
2970058, "MB-CP2 from SCL & LH Neuron 2970059"
2970073, "MB-CP2 from SCL & LH Neuron 2970074"
