fscore_abc,precision_abc,recall_abc,score_thr
0.6799999999999999,0.6678571428571428,0.6925925925925925,130.0
0.6778711484593838,0.6836158192090396,0.6722222222222223,140.0
0.6761565836298933,0.6506849315068494,0.7037037037037037,120.0
0.6718885987815493,0.6338259441707718,0.7148148148148148,110.0
0.6692233940556088,0.6938369781312127,0.6462962962962963,150.0
0.6610169491525424,0.609375,0.7222222222222222,100.0
0.6583953680727874,0.5949177877428998,0.737037037037037,90.0
0.6581532416502947,0.700836820083682,0.6203703703703703,160.0
0.6505636070853462,0.5754985754985755,0.7481481481481481,80.0
0.6483946750195771,0.5617367706919946,0.7666666666666667,70.0
0.6458752515090543,0.7070484581497798,0.5944444444444444,170.0
0.6455566905005107,0.7198177676537585,0.5851851851851851,180.0
0.6428027418126427,0.5459249676584734,0.7814814814814814,60.0
0.6332288401253918,0.7266187050359713,0.5611111111111111,190.0
0.6318036286019212,0.7455919395465995,0.5481481481481482,200.0
0.6312684365781711,0.5245098039215687,0.7925925925925926,50.0
0.6219780219780219,0.7648648648648648,0.524074074074074,210.0
0.6159368269921035,0.5029308323563892,0.7944444444444444,40.0
0.6112359550561798,0.7771428571428571,0.5037037037037037,220.0
0.5997229916897506,0.47898230088495575,0.8018518518518518,30.0
0.5960874568469505,0.7872340425531915,0.47962962962962963,230.0
0.5757931844888368,0.7877813504823151,0.4537037037037037,240.0
0.5727810650887574,0.7934426229508197,0.44814814814814813,250.0
0.5716145833333333,0.4407630522088353,0.812962962962963,20.0
0.5603864734299517,0.8055555555555556,0.42962962962962964,260.0
0.554601226993865,0.8218181818181818,0.4185185185185185,270.0
0.5417937766931056,0.40400363967242947,0.8222222222222222,10.0
0.5376884422110553,0.8359375,0.3962962962962963,280.0
0.5179487179487179,0.8416666666666667,0.37407407407407406,290.0
0.5128865979381444,0.8432203389830508,0.3685185185185185,300.0
0.49141347424042275,0.8571428571428571,0.34444444444444444,310.0
0.4710632570659488,0.8620689655172413,0.32407407407407407,320.0
0.4444444444444444,0.8571428571428571,0.3,330.0
0.42995839112343964,0.856353591160221,0.28703703703703703,340.0
0.4163150492264416,0.8654970760233918,0.2740740740740741,350.0
0.39829302987197723,0.8588957055214724,0.25925925925925924,360.0
0.3937232524964336,0.8571428571428571,0.25555555555555554,370.0
0.37806637806637805,0.8562091503267973,0.24259259259259258,380.0
0.36627906976744184,0.8513513513513513,0.23333333333333334,390.0
0.35912408759124087,0.8482758620689655,0.22777777777777777,400.0
