fscore,precision,recall,score_thr
0.1366932389469233,0.9293015332197616,0.07377229312822246,700
0.19282511210762332,0.9286443893185466,0.10758177668836108,600
0.2684687806850344,0.9206695057938,0.1571464795875243,500
0.3721042860602147,0.91112721523157,0.2337925788183585,400
0.4915582347031292,0.8930240840493255,0.33910912010819033,300
0.5988107189744383,0.8618838922764228,0.458777787169301,200
0.6408332985080863,0.8388446705505866,0.5184515256529456,150
0.6617652999394062,0.8218738241565283,0.5538669596821909,120
0.6670660954834586,0.8148970430369864,0.564635280196095,110
0.6693539579630862,0.8109753163643363,0.5698419406643563,105
0.6721979420498605,0.8071455648218347,0.5759107429634013,100
0.674390566648043,0.8025241450100312,0.5815400219761643,95
0.6765207393477605,0.7985095224951697,0.5868650156368862,90
0.6852503839095098,0.768056925757226,0.6185614064745161,60
0.6863883167946078,0.7262008074557598,0.6507142253402081,30
0.6801783335041508,0.6873759257021527,0.6731299129405798,10
0.6801080537541863,0.685723614118294,0.6745837207336658,9
0.6795099597867764,0.6835020866114798,0.6755641957569098,8
0.6790520201806078,0.6812181013950324,0.6768996703575353,7
0.6785197716219075,0.679007956661588,0.6780322880567999,6
0.6777536959106741,0.676231025546094,0.679283238948525,5
0.6777536959106741,0.676231025546094,0.679283238948525,4
0.6777536959106741,0.676231025546094,0.679283238948525,3
0.6777536959106741,0.676231025546094,0.679283238948525,2
0.6777536959106741,0.676231025546094,0.679283238948525,1
0.6777536959106741,0.676231025546094,0.679283238948525,0
