fscore,precision,recall,score_thr
0.10329520232200785,0.9236641221374046,0.05470657383126865,700
0.1463495759188425,0.9100310237849017,0.07957319830002713,600
0.20967612954818074,0.9066390041493776,0.11854598064924496,500
0.299270621851267,0.8883928571428571,0.17994393706483408,400
0.4090250465742082,0.8631333721607455,0.2680169997287277,300
0.5284363100356221,0.8236645605973578,0.3890044307803599,200
0.5759464450600185,0.7959802201308024,0.4512162039967447,150
0.598912078152753,0.7754779358919074,0.4878379600325527,120
0.6053480614644283,0.7657719977863863,0.5004973324893752,110
0.6092528236316247,0.7625390784287074,0.507279139162673,105
0.6124056094929882,0.7588557679454618,0.5133375531241523,100
0.6159032534246576,0.7543583693799973,0.520390632064382,95
0.6177876952502391,0.748937266520675,0.5257256533140429,90
0.6321938334941841,0.721256374594344,0.56270910570576,60
0.6390053491398003,0.6840693355344614,0.5995117099195225,30
0.6381312200516035,0.6505401596993894,0.6261868161678271,10
0.638235294117647,0.6489113166993739,0.6279048738583959,9
0.6375762020442775,0.6464956311582079,0.6288995388371462,8
0.6373485714285714,0.6445081360946746,0.6303463242607831,7
0.6367034369587018,0.6419707693721849,0.631521837417488,6
0.6360703412550552,0.6392948483741323,0.6328781987521476,5
0.6360703412550552,0.6392948483741323,0.6328781987521476,4
0.6360703412550552,0.6392948483741323,0.6328781987521476,3
0.6360703412550552,0.6392948483741323,0.6328781987521476,2
0.6360703412550552,0.6392948483741323,0.6328781987521476,1
0.6360703412550552,0.6392948483741323,0.6328781987521476,0
0.6360703412550552,0.6392948483741323,0.6328781987521476,-1
