fscore,precision,recall,score_thr
0.03878313467354563,0.923728813559322,0.019807377793930582,700
0.06176522196876645,0.8979591836734694,0.031982554970016355,600
0.10371384562724628,0.8911764705882353,0.05506087588588043,500
0.16527024806965665,0.8613013698630136,0.09140468835180811,400
0.2668913742914049,0.8505859375,0.15827730328911502,300
0.39280774550484093,0.8222350897510133,0.2580410685080865,200
0.4572760227861212,0.7951373255290409,0.32091586407414135,150
0.4955010477012203,0.7701149425287356,0.36525531528257316,120
0.5055879494655005,0.762550384756321,0.37815736870797745,110
0.509955351755762,0.7589798850574713,0.3839723787025259,105
0.5138539042821159,0.7558221594918842,0.3892422315100854,100
0.5194959581550166,0.7511172224132004,0.39705615119025983,95
0.5262165665134912,0.7483243967828418,0.4057786661820825,90
0.5565626049009734,0.7242283051834595,0.45193530801381065,60
0.5760237011956406,0.6894630192502533,0.4946392876612757,30
0.5864147909967846,0.6558777253315352,0.5302562238778847,10
0.5862310852790861,0.653485254691689,0.5315282573141923,9
0.5869065467266367,0.6521545979564638,0.5335271669998183,8
0.5879071620679351,0.6505731922398589,0.5362529529347628,7
0.5879546809779368,0.6488264970388243,0.5375249863710704,6
0.5882119861317483,0.6465592334494773,0.5395238960566964,5
0.5882119861317483,0.6465592334494773,0.5395238960566964,4
0.5882119861317483,0.6465592334494773,0.5395238960566964,3
0.5882119861317483,0.6465592334494773,0.5395238960566964,2
0.5882119861317483,0.6465592334494773,0.5395238960566964,1
0.5882119861317483,0.6465592334494773,0.5395238960566964,0
0.5882119861317483,0.6465592334494773,0.5395238960566964,-1
