fscore,precision,recall,score_thr
0.15034600730891842,0.9386407766990291,0.08171752176485504,700
0.21053105175542525,0.9328814460393408,0.11865438255430648,600
0.2913675213675213,0.9259393390674513,0.17288479418476882,500
0.40195716395864106,0.9142120103185554,0.2576113599864762,400
0.5288296451735979,0.8972367196666262,0.3748964584565971,300
0.6419858125857465,0.8655081440697407,0.5102189164060519,200
0.6851392971438317,0.8426364623433027,0.5772462175640267,150
0.7063582696216006,0.8261233729485002,0.6169216465218493,120
0.7119973222397551,0.8197533582911253,0.6292790127630801,110
0.7142381807983725,0.8160272841812574,0.6350266249683036,105
0.7164943098644756,0.8117483415364862,0.6412475699433691,100
0.718859941270839,0.8076566320937685,0.6476544670780153,95
0.720948012232416,0.8037878630381905,0.6535880314428197,90
0.7281770035217895,0.7748302692806469,0.686822753782436,60
0.7265890717667368,0.7347009315106372,0.7186543825543065,30
0.7187892417166634,0.6985451296940306,0.740241737807455,10
0.7183271631228909,0.6967443634110301,0.7412898317978193,9
0.7177571621235033,0.6948409558474442,0.7422364973375032,8
0.7169909758622658,0.6923767239750614,0.743419829262108,7
0.7164805491618613,0.6904194620352373,0.7445862564449328,6
0.7157887905509,0.6880965749578888,0.7458033978530978,5
0.7157887905509,0.6880965749578888,0.7458033978530978,4
0.7157887905509,0.6880965749578888,0.7458033978530978,3
0.7157887905509,0.6880965749578888,0.7458033978530978,2
0.7157887905509,0.6880965749578888,0.7458033978530978,1
0.7157887905509,0.6880965749578888,0.7458033978530978,0
0.7157887905509,0.6880965749578888,0.7458033978530978,-1
