fscore,precision,recall,score_thr
0.08738267297948335,0.8622950819672132,0.04602327412722023,700
0.13748086066564588,0.8704081632653061,0.07463470119870505,600
0.2197651364953485,0.855192878338279,0.1260827718960539,500
0.3381204684885667,0.8319039451114922,0.21217954326712749,400
0.4803610636740668,0.7928326957922287,0.34456207892204044,300
0.6188021853417174,0.7529160918098583,0.5252428033948727,200
0.6605721864342554,0.7201280594856966,0.6101146207017237,150
0.6747053000989831,0.6944521626377698,0.6560503981100708,120
0.6784499138350051,0.6853240492769148,0.6717123107883455,110
0.6799018318871065,0.6810957941873738,0.6787120482981888,105
0.6806733655226413,0.6768166089965398,0.6845743284626826,100
0.6815594272899775,0.6719959180202398,0.69139907253478,95
0.6828788785366271,0.6674743086306292,0.6990112870767347,90
0.6833644556304295,0.637410071942446,0.7364598827543967,60
0.6726813976603715,0.5973250050919954,0.7697961326450258,30
0.6576179906116955,0.5629205083478694,0.7906203517368099,10
0.656793350030854,0.561228287841191,0.7915828156444134,9
0.6558719119032095,0.5596216851084873,0.7921077959576516,8
0.6550789578289308,0.5579906426988427,0.793070259865255,7
0.6540789852983568,0.5560252404582491,0.7941202204917316,6
0.653184381622903,0.5540524070688605,0.7955201679937003,5
0.653184381622903,0.5540524070688605,0.7955201679937003,4
0.653184381622903,0.5540524070688605,0.7955201679937003,3
0.653184381622903,0.5540524070688605,0.7955201679937003,2
0.653184381622903,0.5540524070688605,0.7955201679937003,1
0.653184381622903,0.5540524070688605,0.7955201679937003,0
0.653184381622903,0.5540524070688605,0.7955201679937003,-1
