fscore,precision,recall,score_thr
0.07640906449738524,0.9120069354139575,0.039874917085189046,700
0.11889152698536447,0.9134222706234686,0.06358381502890173,600
0.18289085545722714,0.9117647058823529,0.10163934426229508,500
0.2793785174852086,0.9073109768798167,0.1651094475504596,400
0.3991582417258988,0.8929417961548591,0.2570264379797214,300
0.5191602092853831,0.8621645402551694,0.3714014972045864,200
0.571960468283419,0.8392857142857143,0.4337913389557472,150
0.6004281213170743,0.8214814571061897,0.4731166492940396,120
0.6088752269841081,0.8145243236377493,0.48613664360845255,110
0.613348730880724,0.8108234414431256,0.49322467544773996,105
0.617199569308553,0.8068790354662015,0.4997251966265517,100
0.6216985626474245,0.8034598750600673,0.5070027480337345,95
0.6254803087822947,0.7995456959112632,0.5136548848668625,90
0.6461979281463522,0.772034233048058,0.5556334691556903,60
0.6598136509563199,0.7360365825206476,0.5978963327963612,30
0.6631483896859638,0.7045730732331308,0.626324267980669,10
0.6633297628462455,0.7030003395009337,0.6278972803942007,9
0.6635512152257704,0.7012515565310989,0.6296977162892069,8
0.6634124960153013,0.6992586992586992,0.6310622571780536,7
0.6635663536542953,0.6974932107791937,0.6327868852459017,6
0.663270766852318,0.6951247377495274,0.634208282005117,5
0.663270766852318,0.6951247377495274,0.634208282005117,4
0.663270766852318,0.6951247377495274,0.634208282005117,3
0.663270766852318,0.6951247377495274,0.634208282005117,2
0.663270766852318,0.6951247377495274,0.634208282005117,1
0.663270766852318,0.6951247377495274,0.634208282005117,0
0.663270766852318,0.6951247377495274,0.634208282005117,-1
