accuracy,recall,precision,fscore,edge_threshold,tp,fp,fn,tn,add_synaptic_cleft_score,synful_method,dataset
0.17689265017017752,0.42924107142857143,0.2312966081308636,0.3006096607784899,1,1923,6391,2557,0,False,random,lh_con
0.3543827995790107,0.26974198592650506,0.2214377406931964,0.2432146633768065,2,690,2426,1868,1667,False,random,lh_con
0.5093715545755237,0.1799140708915145,0.22665764546684708,0.20059880239520958,3,335,1143,1527,2437,False,random,lh_con
0.6088620342396778,0.1177257525083612,0.2202753441802253,0.15344376634699217,4,176,623,1319,2847,False,random,lh_con
0.6907825353300991,0.09582309582309582,0.24425887265135698,0.1376470588235294,5,117,362,1104,3158,False,random,lh_con
0.7446578890567667,0.07197696737044146,0.25773195876288657,0.11252813203300825,6,75,216,967,3375,False,random,lh_con
0.7875409836065573,0.060090702947845805,0.27040816326530615,0.09833024118738405,7,53,143,829,3550,False,random,lh_con
0.818942731277533,0.05138339920948617,0.2765957446808511,0.08666666666666668,8,39,102,720,3679,False,random,lh_con
0.8406727152024784,0.04585798816568047,0.29245283018867924,0.07928388746803068,9,31,75,645,3768,False,random,lh_con
0.8599023090586145,0.03980099502487562,0.3157894736842105,0.07069219440353461,10,24,52,579,3849,False,random,lh_con
0.8749443702714731,0.03467153284671533,0.36538461538461536,0.06333333333333334,11,19,33,529,3913,False,random,lh_con
0.8873803694636101,0.03420523138832998,0.3953488372093023,0.06296296296296297,12,17,26,480,3970,False,random,lh_con
0.8963903743315508,0.030501089324618737,0.4117647058823529,0.056795131845841784,13,14,20,445,4009,False,random,lh_con
0.9057276576777357,0.026252983293556086,0.4230769230769231,0.04943820224719101,14,11,15,408,4053,False,random,lh_con
0.91057091882248,0.01272264631043257,0.2777777777777778,0.024330900243309,15,5,13,388,4078,False,random,lh_con
0.9199196966317198,0.014164305949008499,0.3125,0.027100271002710025,16,5,11,348,4119,False,random,lh_con
0.9238839285714285,0.011834319526627219,0.36363636363636365,0.02292263610315186,17,4,7,334,4135,False,random,lh_con
0.9283482142857142,0.006309148264984227,0.25,0.012307692307692306,18,2,6,315,4157,False,random,lh_con
0.9325892857142857,0.006688963210702341,0.2857142857142857,0.013071895424836602,19,2,5,297,4176,False,random,lh_con
0.9375,0.0036363636363636364,0.14285714285714285,0.007092198581560284,20,1,6,274,4199,False,random,lh_con
0.9421875,0.00392156862745098,0.16666666666666666,0.007662835249042145,21,1,5,254,4220,False,random,lh_con
0.9470982142857143,0.0,0.0,,22,0,3,234,4243,False,random,lh_con
0.9520089285714286,0.0,0.0,,23,0,3,212,4265,False,random,lh_con
0.9558035714285714,0.0,0.0,,24,0,3,195,4282,False,random,lh_con
0.9580357142857143,0.0,0.0,,25,0,3,185,4292,False,random,lh_con
0.9616071428571429,0.0,0.0,,26,0,2,170,4308,False,random,lh_con
0.9649553571428572,0.0,0.0,,27,0,2,155,4323,False,random,lh_con
0.9665178571428571,0.0,0.0,,28,0,2,148,4330,False,random,lh_con
0.9678571428571429,0.0,0.0,,29,0,2,142,4336,False,random,lh_con
