accuracy,recall,precision,fscore,edge_threshold,tp,fp,fn,tn,add_synaptic_cleft_score,synful_method,dataset
0.8876092136616363,0.9819859402460457,0.9023011707710941,0.94045865768988,1,2235,242,41,0,False,synfulv01,calyx
0.9697100822154912,0.9907364520611394,0.9771585198720877,0.983900643974241,2,2139,50,20,102,False,synfulv01,calyx
0.9716652136006975,0.9867674858223062,0.9825882352941177,0.9846734260787551,3,2088,37,28,141,False,synfulv01,calyx
0.9658493870402802,0.9755395683453237,0.9868995633187773,0.9811866859623734,4,2034,27,51,172,False,synfulv01,calyx
0.9552435278630979,0.9637076998528691,0.9859508278976418,0.974702380952381,5,1965,28,74,212,False,synfulv01,calyx
0.9460052677787533,0.9545454545454546,0.982839313572543,0.9684857801691008,6,1890,33,90,265,False,synfulv01,calyx
0.9249341527655839,0.9331259720062208,0.9771986970684039,0.9546539379474941,7,1800,42,129,307,False,synfulv01,calyx
0.9130434782608695,0.9191374663072777,0.9726183685111238,0.9451219512195123,8,1705,48,150,374,False,synfulv01,calyx
0.9038208168642952,0.9082207207207207,0.9664469742360695,0.9364296081277212,9,1613,56,163,445,False,synfulv01,calyx
0.8818620992534036,0.8836104513064132,0.9532351057014734,0.9171032357473035,10,1488,73,196,520,False,synfulv01,calyx
0.87044356609574,0.8648648648648649,0.945054945054945,0.9031834591401379,11,1376,80,215,606,False,synfulv01,calyx
0.8634167764602547,0.8434139784946236,0.9414853713428357,0.8897554058844382,12,1255,78,233,711,False,synfulv01,calyx
0.8533157663592447,0.8178545716342692,0.9334428923582581,0.8718342287029932,13,1136,81,253,807,False,synfulv01,calyx
0.8541300527240774,0.8003132341425215,0.9299363057324841,0.8602693602693602,14,1022,77,255,922,False,synfulv01,calyx
0.8558875219683656,0.78719723183391,0.9173387096774194,0.8472998137802608,15,910,82,246,1038,False,synfulv01,calyx
0.8681898066783831,0.7775665399239544,0.9253393665158371,0.8450413223140497,16,818,66,234,1158,False,synfulv01,calyx
0.8739015817223199,0.764021164021164,0.9185750636132316,0.8341998844598498,17,722,64,223,1267,False,synfulv01,calyx
0.8774165202108963,0.7488151658767772,0.9041487839771102,0.8191834089436164,18,632,67,212,1365,False,synfulv01,calyx
0.8734622144112478,0.714663143989432,0.8825448613376835,0.7897810218978102,19,541,72,216,1447,False,synfulv01,calyx
0.8739015817223199,0.6772793053545586,0.8796992481203008,0.7653311529026984,20,468,64,223,1521,False,synfulv01,calyx
0.8787346221441125,0.6500802568218299,0.8747300215982722,0.7458563535911602,21,405,58,218,1595,False,synfulv01,calyx
0.8835676625659051,0.6279491833030852,0.8522167487684729,0.723092998955068,22,346,60,205,1665,False,synfulv01,calyx
0.9002636203866432,0.614406779661017,0.8656716417910447,0.7187112763320942,23,290,45,182,1759,False,synfulv01,calyx
0.9033391915641477,0.5849056603773585,0.8493150684931506,0.6927374301675977,24,248,44,176,1808,False,synfulv01,calyx
0.9116871704745168,0.5691489361702128,0.8458498023715415,0.6804451510333864,25,214,39,162,1861,False,synfulv01,calyx
0.9226713532513181,0.5559006211180124,0.8443396226415094,0.6704119850187266,26,179,33,143,1921,False,synfulv01,calyx
0.9349736379613357,0.5703703703703704,0.8279569892473119,0.6754385964912281,27,154,32,116,1974,False,synfulv01,calyx
0.9433216168717048,0.5672268907563025,0.8385093167701864,0.6766917293233081,28,135,26,103,2012,False,synfulv01,calyx
0.9477152899824253,0.5384615384615384,0.8296296296296296,0.6530612244897959,29,112,23,96,2045,False,synfulv01,calyx
