accuracy,recall,precision,fscore,edge_threshold,tp,fp,fn,tn,add_synaptic_cleft_score,synful_method,dataset
0.5797973400886637,0.8174107142857143,0.6660603855947618,0.7340148326317899,1,3662,1836,818,0,False,synfulv01,lh_con
0.7938660546630503,0.8455824863174355,0.784833091436865,0.8140760255927737,2,2163,593,395,1642,False,synfulv01,lh_con
0.8790340285400658,0.8694951664876477,0.8401660612350804,0.8545790446027975,3,1619,308,243,2385,False,synfulv01,lh_con
0.9124556737588653,0.8762541806020067,0.8618421052631579,0.8689883913764511,4,1310,210,185,2807,False,synfulv01,lh_con
0.9220316328803743,0.8648648648648649,0.8509266720386784,0.8578391551584078,5,1056,185,165,3083,False,synfulv01,lh_con
0.9286669638876505,0.836852207293666,0.8532289628180039,0.8449612403100776,6,872,150,170,3294,False,synfulv01,lh_con
0.944692239072257,0.8537414965986394,0.8635321100917431,0.8586088939566705,7,753,119,129,3483,False,synfulv01,lh_con
0.9462173621959384,0.8458498023715415,0.8381201044386423,0.8419672131147542,8,642,124,117,3598,False,synfulv01,lh_con
0.9546976121401473,0.8535502958579881,0.8472834067547724,0.8504053058216654,9,577,104,99,3701,False,synfulv01,lh_con
0.9642936844454363,0.8772802653399668,0.8601626016260162,0.8686371100164203,10,529,86,74,3792,False,synfulv01,lh_con
0.9662946428571428,0.8631386861313869,0.8615664845173042,0.8623518687329079,11,473,76,75,3856,False,synfulv01,lh_con
0.9716517857142857,0.8712273641851107,0.8729838709677419,0.8721047331319235,12,433,63,64,3920,False,synfulv01,lh_con
0.9716517857142857,0.8583877995642701,0.8640350877192983,0.8612021857923498,13,394,62,65,3959,False,synfulv01,lh_con
0.9747767857142857,0.8735083532219571,0.8591549295774648,0.8662721893491125,14,366,60,53,4001,False,synfulv01,lh_con
0.9772321428571429,0.8727735368956743,0.8683544303797468,0.8705583756345177,15,343,52,50,4035,False,synfulv01,lh_con
0.9796875,0.886685552407932,0.8598901098901099,0.8730822873082288,16,313,51,40,4076,False,synfulv01,lh_con
0.98125,0.878698224852071,0.8735294117647059,0.8761061946902655,17,297,43,41,4099,False,synfulv01,lh_con
0.9823660714285715,0.8706624605678234,0.8789808917197452,0.8748019017432647,18,276,38,41,4125,False,synfulv01,lh_con
0.9848214285714286,0.8695652173913043,0.8996539792387543,0.8843537414965986,19,260,29,39,4152,False,synfulv01,lh_con
0.9825892857142857,0.850909090909091,0.8634686346863468,0.8571428571428572,20,234,37,41,4168,False,synfulv01,lh_con
0.9834821428571429,0.8431372549019608,0.8634538152610441,0.8531746031746033,21,215,34,40,4191,False,synfulv01,lh_con
0.9832589285714286,0.8461538461538461,0.8354430379746836,0.840764331210191,22,198,39,36,4207,False,synfulv01,lh_con
0.9850446428571429,0.8584905660377359,0.8310502283105022,0.8445475638051044,23,182,37,30,4231,False,synfulv01,lh_con
0.9852678571428571,0.8615384615384616,0.8115942028985508,0.835820895522388,24,168,39,27,4246,False,synfulv01,lh_con
0.9857142857142858,0.8432432432432433,0.8167539267015707,0.8297872340425532,25,156,35,29,4260,False,synfulv01,lh_con
0.9859375,0.8411764705882353,0.7988826815642458,0.8194842406876791,26,143,36,27,4274,False,synfulv01,lh_con
0.9877232142857143,0.8709677419354839,0.7941176470588235,0.8307692307692308,27,135,35,20,4290,False,synfulv01,lh_con
0.9875,0.8648648648648649,0.7804878048780488,0.8205128205128206,28,128,36,20,4296,False,synfulv01,lh_con
0.9883928571428572,0.8591549295774648,0.7922077922077922,0.8243243243243243,29,122,32,20,4306,False,synfulv01,lh_con
