12854, "KCaBs 12855 IJA"
12874, "KCa'B'm 12875 ARH"
12918, "KCaBs 12919 SAC"
12934, "KCaBs 12935 IJA"
13018, "KCaBc 13019 AA"
13030, "KCaBs 13031 IJA"
13098, "KCaBs 13099 SAC"
13102, "KCaBs 13103 NS"
13146, "KCaBs 13147 IJA"
13158, "KCaBs 13159 NS"
13202, "KCaBs 13203 SJW AEB JMR"
13278, "KCaBs 13279 JMR"
13290, "KCaBs 13291 GA"
13302, "KCaBs 13303 IJA"
13310, "KCaBs 13311 AJ"
13314, "KCaBs 13315 IJA"
13374, "KCaBs 13375 IJA"
13378, "KCaBc 13379 NS"
13466, "KCaBc 13467 SJW"
13518, "KCaBs 13519 JMR"
13590, "KCaBs 13591 JMR"
13682, "KCaBs 13683 EAM"
13686, "KCaBs 13687 AJ"
13770, "KCaBp 13771 NM"
13782, "KCaBs 13783 IJA"
13786, "KCaBs 13787 NS"
13818, "KCaBs 13819 LK"
13886, "KCaBc 13887 SAC"
13890, "KCaBc 13891 BH"
13894, "KCaBc 13895 CF"
13926, "KCaBc 13927 LK"
14050, "KCaBs 14051 ML"
14054, "KCaBs 14055 IJA"
14154, "KCaBs 14155 BAK"
14238, "KCa'B'ap 14239 JMR"
14322, "KCa'B'ap 14323 IJA"
14330, "KCa'B'ap 14331 SAC"
14342, "KCa'B'm 14343 CF"
14430, "KCa'B'ap 14431 ARH"
14434, "KCa'B'm 14435 SMM"
14466, "KCaBs 14467 NAS"
14478, "KCaBs 14479 BG"
14602, "KCaBc 14603 SAC"
14618, "KCaBs 14619 NS"
14678, "KCy 14679 ECS"
14690, "KCa'B'ap 14691 JMR"
14838, "KCaBs 14839 NS"
14862, "KCaBs 14863 CF"
14890, "KCaBs 14891 IJA"
14910, "KCaBs 14911 SAC"
14938, "KCy 14939 SAC"
14954, "KCy 14955 ZSG"
15050, "KCy 15051 SAC"
15102, "KCy 15103 NS"
15114, "KCy 15115 IJA"
15118, "KCy 15119 SAC"
15214, "KCy 15215 CF"
15218, "KCy 15219 IJA"
