,score_thr,synapse_collection,annotator,fscore,precision,recall,fpcount,fncount,tpcount,gtcount,predcount
0,0.0,synful,,0.6385135135135134,0.5924764890282131,0.6923076923076923,130,84,189,273,319
1,10.0,synful,,0.6438356164383561,0.6045016077170418,0.6886446886446886,123,85,188,273,311
2,20.0,synful,,0.6571936056838366,0.6379310344827587,0.6776556776556777,105,88,185,273,290
3,30.0,synful,,0.6691176470588235,0.6715867158671587,0.6666666666666666,89,91,182,273,271
4,40.0,synful,,0.6768060836501901,0.7035573122529645,0.652014652014652,75,95,178,273,253
5,50.0,synful,,0.6770428015564202,0.7219917012448133,0.6373626373626373,67,99,174,273,241
6,60.0,synful,,0.6679920477137177,0.7304347826086957,0.6153846153846154,62,105,168,273,230
7,70.0,synful,,0.6666666666666667,0.7432432432432432,0.6043956043956044,57,108,165,273,222
8,80.0,synful,,0.6639511201629328,0.7477064220183486,0.5970695970695971,55,110,163,273,218
9,90.0,synful,,0.6528066528066527,0.7548076923076923,0.575091575091575,51,116,157,273,208
10,100.0,synful,,0.642706131078224,0.76,0.5567765567765568,48,121,152,273,200
11,200.0,synful,,0.5728395061728395,0.8787878787878788,0.4249084249084249,16,157,116,273,132
12,300.0,synful,,0.44321329639889206,0.9090909090909091,0.29304029304029305,8,193,80,273,88
13,400.0,synful,,0.35608308605341243,0.9375,0.21978021978021978,4,213,60,273,64
14,500.0,synful,,0.23566878980891717,0.9024390243902439,0.13553113553113552,4,236,37,273,41
15,600.0,synful,,0.17880794701986755,0.9310344827586207,0.0989010989010989,2,246,27,273,29
16,700.0,synful,,0.15488215488215487,0.9583333333333334,0.08424908424908426,1,250,23,273,24
17,800.0,synful,,0.1232876712328767,0.9473684210526315,0.06593406593406594,1,255,18,273,19
18,900.0,synful,,0.08421052631578947,1.0,0.04395604395604396,0,261,12,273,12
19,1000.0,synful,,0.07746478873239436,1.0,0.040293040293040296,0,262,11,273,11
20,1100.0,synful,,0.0706713780918728,1.0,0.03663003663003663,0,263,10,273,10
21,1200.0,synful,,0.06382978723404255,1.0,0.03296703296703297,0,264,9,273,9
22,1300.0,synful,,0.03597122302158274,1.0,0.018315018315018316,0,268,5,273,5
23,1400.0,synful,,0.02888086642599278,1.0,0.014652014652014652,0,269,4,273,4
24,1500.0,synful,,0.02173913043478261,1.0,0.01098901098901099,0,270,3,273,3
25,1600.0,synful,,0.014545454545454545,1.0,0.007326007326007326,0,271,2,273,2
26,1700.0,synful,,0.014545454545454545,1.0,0.007326007326007326,0,271,2,273,2
27,1800.0,synful,,0.014545454545454545,1.0,0.007326007326007326,0,271,2,273,2
28,1900.0,synful,,0.014545454545454545,1.0,0.007326007326007326,0,271,2,273,2
29,2000.0,synful,,0.0072992700729927005,1.0,0.003663003663003663,0,272,1,273,1
30,2100.0,synful,,0.0072992700729927005,1.0,0.003663003663003663,0,272,1,273,1
31,2200.0,synful,,0.0072992700729927005,1.0,0.003663003663003663,0,272,1,273,1
32,2300.0,synful,,0.0072992700729927005,1.0,0.003663003663003663,0,272,1,273,1
33,2400.0,synful,,0.0072992700729927005,1.0,0.003663003663003663,0,272,1,273,1
34,0.0,syntist_ffn,,0.12248102590944777,0.06595264937993235,0.8571428571428571,3314,39,234,273,3548
35,100.0,syntist_ffn,,0.24673109721432632,0.14602960969044415,0.7948717948717948,1269,56,217,273,1486
36,200.0,syntist_ffn,,0.302943287867911,0.18839285714285714,0.7728937728937729,909,62,211,273,1120
37,300.0,syntist_ffn,,0.34608985024958405,0.2238966630785791,0.7619047619047619,721,65,208,273,929
38,400.0,syntist_ffn,,0.3942307692307692,0.26727509778357234,0.7509157509157509,562,68,205,273,767
39,500.0,syntist_ffn,,0.42295430393198724,0.29790419161676646,0.7289377289377289,469,74,199,273,668
40,600.0,syntist_ffn,,0.45213379469434833,0.32996632996632996,0.717948717948718,398,77,196,273,594
41,700.0,syntist_ffn,,0.4785276073619632,0.35977859778597787,0.7142857142857143,347,78,195,273,542
