,score_thr,synapse_collection,annotator,fscore,precision,recall,fpcount,fncount,tpcount,gtcount,predcount
0,0.0,synful,,0.5486725663716814,0.5568862275449101,0.5406976744186046,74,79,93,172,167
1,10.0,synful,,0.547112462006079,0.5732484076433121,0.5232558139534884,67,82,90,172,157
2,20.0,synful,,0.5650793650793651,0.6223776223776224,0.5174418604651163,54,83,89,172,143
3,30.0,synful,,0.5789473684210527,0.6666666666666666,0.5116279069767442,44,84,88,172,132
4,40.0,synful,,0.5551839464882944,0.6535433070866141,0.48255813953488375,44,89,83,172,127
5,50.0,synful,,0.5498281786941581,0.6722689075630253,0.46511627906976744,39,92,80,172,119
6,60.0,synful,,0.5473684210526316,0.6902654867256637,0.45348837209302323,35,94,78,172,113
7,70.0,synful,,0.5487364620938628,0.7238095238095238,0.4418604651162791,29,96,76,172,105
8,80.0,synful,,0.5514705882352943,0.75,0.436046511627907,25,97,75,172,100
9,90.0,synful,,0.5243445692883895,0.7368421052631579,0.4069767441860465,25,102,70,172,95
10,100.0,synful,,0.5171102661596958,0.7472527472527473,0.3953488372093023,23,104,68,172,91
11,200.0,synful,,0.40350877192982454,0.8214285714285714,0.26744186046511625,10,126,46,172,56
12,300.0,synful,,0.27722772277227725,0.9333333333333333,0.16279069767441862,2,144,28,172,30
13,400.0,synful,,0.12972972972972974,0.9230769230769231,0.06976744186046512,1,160,12,172,13
14,500.0,synful,,0.06741573033707865,1.0,0.03488372093023256,0,166,6,172,6
15,600.0,synful,,0.022988505747126436,1.0,0.011627906976744186,0,170,2,172,2
16,0.0,syntist_ffn,,0.18097447795823668,0.10437109723461195,0.6802325581395349,1004,55,117,172,1121
17,100.0,syntist_ffn,,0.3434991974317817,0.23725055432372505,0.622093023255814,344,65,107,172,451
18,200.0,syntist_ffn,,0.3869731800766284,0.2885714285714286,0.5872093023255814,249,71,101,172,350
19,300.0,syntist_ffn,,0.43043478260869567,0.34375,0.5755813953488372,189,73,99,172,288
20,400.0,syntist_ffn,,0.44339622641509435,0.373015873015873,0.5465116279069767,158,78,94,172,252
21,500.0,syntist_ffn,,0.46616541353383456,0.40969162995594716,0.5406976744186046,134,79,93,172,227
22,600.0,syntist_ffn,,0.48806366047745353,0.44878048780487806,0.5348837209302325,113,80,92,172,205
23,700.0,syntist_ffn,,0.5027624309392266,0.4789473684210526,0.5290697674418605,99,81,91,172,190
24,800.0,syntist_ffn,,0.509915014164306,0.4972375690607735,0.5232558139534884,91,82,90,172,181
25,900.0,syntist_ffn,,0.5189504373177842,0.52046783625731,0.5174418604651163,82,83,89,172,171
26,1000.0,syntist_ffn,,0.5194029850746268,0.5337423312883436,0.5058139534883721,76,85,87,172,163
27,2000.0,syntist_ffn,,0.47407407407407404,0.6530612244897959,0.37209302325581395,34,108,64,172,98
28,3000.0,syntist_ffn,,0.4578313253012048,0.7402597402597403,0.3313953488372093,20,115,57,172,77
29,4000.0,syntist_ffn,,0.3893805309734513,0.8148148148148148,0.2558139534883721,10,128,44,172,54
30,5000.0,syntist_ffn,,0.30622009569377995,0.8648648648648649,0.18604651162790697,5,140,32,172,37
31,6000.0,syntist_ffn,,0.24,0.8571428571428571,0.13953488372093023,4,148,24,172,28
32,7000.0,syntist_ffn,,0.1875,0.9,0.10465116279069768,2,154,18,172,20
33,8000.0,syntist_ffn,,0.13903743315508021,0.8666666666666667,0.0755813953488372,2,159,13,172,15
34,9000.0,syntist_ffn,,0.10869565217391304,0.8333333333333334,0.05813953488372093,2,162,10,172,12
35,10000.0,syntist_ffn,,0.07734806629834255,0.7777777777777778,0.040697674418604654,2,165,7,172,9
36,11000.0,syntist_ffn,,0.056179775280898875,0.8333333333333334,0.029069767441860465,1,167,5,172,6
37,12000.0,syntist_ffn,,0.05649717514124294,1.0,0.029069767441860465,0,167,5,172,5
38,13000.0,syntist_ffn,,0.04545454545454545,1.0,0.023255813953488372,0,168,4,172,4
39,14000.0,syntist_ffn,,0.011560693641618497,1.0,0.005813953488372093,0,171,1,172,1
40,15000.0,syntist_ffn,,0.011560693641618497,1.0,0.005813953488372093,0,171,1,172,1
