,score_thr,synapse_collection,annotator,fscore,precision,recall,fpcount,fncount,tpcount,gtcount,predcount
0,0.0,syntist_ffn,,0.22390722569134702,0.12721743537759755,0.9330855018587361,1722,18,251,269,1973
1,100.0,syntist_ffn,,0.43462578899909826,0.2869047619047619,0.895910780669145,599,28,241,269,840
2,200.0,syntist_ffn,,0.5201305767138193,0.3676923076923077,0.8884758364312267,411,30,239,269,650
3,300.0,syntist_ffn,,0.5766423357664233,0.42857142857142855,0.8810408921933085,316,32,237,269,553
4,400.0,syntist_ffn,,0.6178010471204188,0.4767676767676768,0.8773234200743495,259,33,236,269,495
5,500.0,syntist_ffn,,0.6582278481012659,0.5294117647058824,0.8698884758364313,208,35,234,269,442
6,600.0,syntist_ffn,,0.6905829596412557,0.5775,0.8587360594795539,169,38,231,269,400
7,700.0,syntist_ffn,,0.707165109034268,0.6085790884718498,0.8438661710037175,146,42,227,269,373
8,800.0,syntist_ffn,,0.7246376811594203,0.6392045454545454,0.8364312267657993,127,44,225,269,352
9,900.0,syntist_ffn,,0.735973597359736,0.6617210682492581,0.828996282527881,114,46,223,269,337
10,1000.0,syntist_ffn,,0.7440273037542663,0.6876971608832808,0.8104089219330854,99,51,218,269,317
11,2000.0,syntist_ffn,,0.7290448343079922,0.7663934426229508,0.6951672862453532,57,82,187,269,244
12,3000.0,syntist_ffn,,0.6892177589852008,0.7990196078431373,0.6059479553903345,41,106,163,269,204
13,4000.0,syntist_ffn,,0.5915492957746479,0.802547770700637,0.4684014869888476,31,143,126,269,157
14,5000.0,syntist_ffn,,0.524173027989822,0.8306451612903226,0.3828996282527881,21,166,103,269,124
15,6000.0,syntist_ffn,,0.40563380281690137,0.8372093023255814,0.26765799256505574,14,197,72,269,86
16,7000.0,syntist_ffn,,0.2883435582822086,0.8245614035087719,0.17472118959107807,10,222,47,269,57
17,8000.0,syntist_ffn,,0.24126984126984127,0.8260869565217391,0.1412639405204461,8,231,38,269,46
18,9000.0,syntist_ffn,,0.19078947368421054,0.8285714285714286,0.10780669144981413,6,240,29,269,35
19,10000.0,syntist_ffn,,0.16216216216216214,0.8888888888888888,0.08921933085501858,3,245,24,269,27
20,11000.0,syntist_ffn,,0.11805555555555555,0.8947368421052632,0.06319702602230483,2,252,17,269,19
21,12000.0,syntist_ffn,,0.1048951048951049,0.8823529411764706,0.055762081784386616,2,254,15,269,17
22,13000.0,syntist_ffn,,0.09859154929577466,0.9333333333333333,0.05204460966542751,1,255,14,269,15
23,14000.0,syntist_ffn,,0.08510638297872339,0.9230769230769231,0.04460966542750929,1,257,12,269,13
24,15000.0,syntist_ffn,,0.06451612903225806,0.9,0.03345724907063197,1,260,9,269,10
25,16000.0,syntist_ffn,,0.0293040293040293,1.0,0.01486988847583643,0,265,4,269,4
26,17000.0,syntist_ffn,,0.022058823529411766,1.0,0.011152416356877323,0,266,3,269,3
27,18000.0,syntist_ffn,,0.022058823529411766,1.0,0.011152416356877323,0,266,3,269,3
28,19000.0,syntist_ffn,,0.014760147601476014,1.0,0.007434944237918215,0,267,2,269,2
29,20000.0,syntist_ffn,,0.007407407407407408,1.0,0.0037174721189591076,0,268,1,269,1
30,21000.0,syntist_ffn,,0.007407407407407408,1.0,0.0037174721189591076,0,268,1,269,1
31,22000.0,syntist_ffn,,0.007407407407407408,1.0,0.0037174721189591076,0,268,1,269,1
32,0.0,synful,,0.7633333333333333,0.6918429003021148,0.8513011152416357,102,40,229,269,331
33,10.0,synful,,0.7684563758389262,0.7003058103975535,0.8513011152416357,98,40,229,269,327
34,20.0,synful,,0.7736486486486486,0.7089783281733746,0.8513011152416357,94,40,229,269,323
35,30.0,synful,,0.7794871794871795,0.7215189873417721,0.8475836431226765,88,41,228,269,316
36,40.0,synful,,0.7827586206896551,0.729903536977492,0.8438661710037175,84,42,227,269,311
37,50.0,synful,,0.7860869565217391,0.738562091503268,0.8401486988847584,80,43,226,269,306
38,60.0,synful,,0.7907801418439716,0.7559322033898305,0.828996282527881,72,46,223,269,295
39,70.0,synful,,0.7799642218246868,0.7517241379310344,0.8104089219330854,72,51,218,269,290
40,80.0,synful,,0.7824497257769654,0.7697841726618705,0.7955390334572491,64,55,214,269,278
41,90.0,synful,,0.7800369685767098,0.7757352941176471,0.7843866171003717,61,58,211,269,272
42,100.0,synful,,0.7744360902255639,0.7832699619771863,0.7657992565055762,57,63,206,269,263
43,200.0,synful,,0.6651785714285714,0.8324022346368715,0.5539033457249071,30,120,149,269,179
44,300.0,synful,,0.5130890052356021,0.8672566371681416,0.3643122676579926,15,171,98,269,113
45,400.0,synful,,0.31384615384615383,0.9107142857142857,0.1895910780669145,5,218,51,269,56
46,500.0,synful,,0.1993355481727575,0.9375,0.11152416356877323,2,239,30,269,32
47,600.0,synful,,0.15120274914089346,1.0,0.08178438661710037,0,247,22,269,22
48,700.0,synful,,0.08540925266903915,1.0,0.04460966542750929,0,257,12,269,12
49,800.0,synful,,0.057761732851985555,1.0,0.02973977695167286,0,261,8,269,8
50,900.0,synful,,0.03649635036496351,1.0,0.01858736059479554,0,264,5,269,5
51,1000.0,synful,,0.0293040293040293,1.0,0.01486988847583643,0,265,4,269,4
52,1100.0,synful,,0.0293040293040293,1.0,0.01486988847583643,0,265,4,269,4
53,1200.0,synful,,0.014760147601476014,1.0,0.007434944237918215,0,267,2,269,2
54,1300.0,synful,,0.007407407407407408,1.0,0.0037174721189591076,0,268,1,269,1
