,score_thr,synapse_collection,annotator,fscore,precision,recall,fpcount,fncount,tpcount,gtcount,predcount
0,0.0,syntist_ffn,,0.189296771340115,0.10737581535373808,0.7985074626865671,1779,54,214,268,1993
1,100.0,syntist_ffn,,0.39385206532180594,0.2652005174644243,0.7649253731343284,568,63,205,268,773
2,200.0,syntist_ffn,,0.46457607433217196,0.3372681281618887,0.746268656716418,393,68,200,268,593
3,300.0,syntist_ffn,,0.5052083333333334,0.388,0.7238805970149254,306,74,194,268,500
4,400.0,syntist_ffn,,0.5368567454798332,0.4279379157427938,0.7201492537313433,258,75,193,268,451
5,500.0,syntist_ffn,,0.5672082717872968,0.46943765281173594,0.7164179104477612,217,76,192,268,409
6,600.0,syntist_ffn,,0.5793528505392912,0.49343832020997375,0.7014925373134329,193,80,188,268,381
7,700.0,syntist_ffn,,0.5893719806763286,0.5184135977337111,0.6828358208955224,170,85,183,268,353
8,800.0,syntist_ffn,,0.6039603960396039,0.5414201183431953,0.6828358208955224,155,85,183,268,338
9,900.0,syntist_ffn,,0.6156462585034014,0.565625,0.6753731343283582,139,87,181,268,320
10,1000.0,syntist_ffn,,0.6180555555555556,0.577922077922078,0.664179104477612,130,90,178,268,308
11,2000.0,syntist_ffn,,0.5867237687366167,0.6884422110552764,0.5111940298507462,62,131,137,268,199
12,3000.0,syntist_ffn,,0.5576923076923076,0.7837837837837838,0.43283582089552236,32,152,116,268,148
13,4000.0,syntist_ffn,,0.5,0.8482142857142857,0.35447761194029853,17,173,95,268,112
14,5000.0,syntist_ffn,,0.42165242165242167,0.891566265060241,0.27611940298507465,9,194,74,268,83
15,6000.0,syntist_ffn,,0.33333333333333337,0.8870967741935484,0.20522388059701493,7,213,55,268,62
16,7000.0,syntist_ffn,,0.21639344262295082,0.8918918918918919,0.12313432835820895,4,235,33,268,37
17,8000.0,syntist_ffn,,0.1879194630872483,0.9333333333333333,0.1044776119402985,2,240,28,268,30
18,9000.0,syntist_ffn,,0.13793103448275862,0.9090909090909091,0.07462686567164178,2,248,20,268,22
19,10000.0,syntist_ffn,,0.10526315789473685,0.8823529411764706,0.055970149253731345,2,253,15,268,17
20,11000.0,syntist_ffn,,0.0851063829787234,0.8571428571428571,0.04477611940298507,2,256,12,268,14
21,12000.0,syntist_ffn,,0.06451612903225806,0.8181818181818182,0.033582089552238806,2,259,9,268,11
22,13000.0,syntist_ffn,,0.05755395683453237,0.8,0.029850746268656716,2,260,8,268,10
23,14000.0,syntist_ffn,,0.0364963503649635,0.8333333333333334,0.018656716417910446,1,263,5,268,6
24,15000.0,syntist_ffn,,0.0293040293040293,0.8,0.014925373134328358,1,264,4,268,5
25,16000.0,syntist_ffn,,0.0293040293040293,0.8,0.014925373134328358,1,264,4,268,5
26,17000.0,syntist_ffn,,0.014760147601476014,0.6666666666666666,0.007462686567164179,1,266,2,268,3
27,18000.0,syntist_ffn,,0.0,0.0,0.0,1,268,0,268,1
28,19000.0,syntist_ffn,,0.0,0.0,0.0,1,268,0,268,1
29,20000.0,syntist_ffn,,0.0,0.0,0.0,1,268,0,268,1
30,0.0,synful,,0.680073126142596,0.6666666666666666,0.6940298507462687,93,82,186,268,279
31,10.0,synful,,0.6777163904235727,0.6690909090909091,0.6865671641791045,91,84,184,268,275
32,20.0,synful,,0.6854990583804143,0.6920152091254753,0.6791044776119403,81,86,182,268,263
33,30.0,synful,,0.6848249027237354,0.7154471544715447,0.6567164179104478,70,92,176,268,246
34,40.0,synful,,0.683794466403162,0.726890756302521,0.6455223880597015,65,95,173,268,238
35,50.0,synful,,0.6680161943319838,0.7300884955752213,0.6156716417910447,61,103,165,268,226
36,60.0,synful,,0.6652806652806652,0.7511737089201878,0.5970149253731343,53,108,160,268,213
37,70.0,synful,,0.6638830897703549,0.7535545023696683,0.5932835820895522,52,109,159,268,211
38,80.0,synful,,0.6538461538461539,0.765,0.5708955223880597,47,115,153,268,200
39,90.0,synful,,0.6375545851528384,0.7684210526315789,0.5447761194029851,44,122,146,268,190
40,100.0,synful,,0.639821029082774,0.7988826815642458,0.5335820895522388,36,125,143,268,179
41,200.0,synful,,0.46361185983827485,0.8349514563106796,0.3208955223880597,17,182,86,268,103
42,300.0,synful,,0.31999999999999995,0.9122807017543859,0.19402985074626866,5,216,52,268,57
43,400.0,synful,,0.1879194630872483,0.9333333333333333,0.1044776119402985,2,240,28,268,30
44,500.0,synful,,0.11188811188811189,0.8888888888888888,0.05970149253731343,2,252,16,268,18
45,600.0,synful,,0.05797101449275362,1.0,0.029850746268656716,0,260,8,268,8
46,700.0,synful,,0.029411764705882353,1.0,0.014925373134328358,0,264,4,268,4
47,800.0,synful,,0.014814814814814815,1.0,0.007462686567164179,0,266,2,268,2
48,900.0,synful,,0.014814814814814815,1.0,0.007462686567164179,0,266,2,268,2
49,1000.0,synful,,0.007434944237918215,1.0,0.0037313432835820895,0,267,1,268,1
50,1100.0,synful,,0.007434944237918215,1.0,0.0037313432835820895,0,267,1,268,1
51,1200.0,synful,,0.007434944237918215,1.0,0.0037313432835820895,0,267,1,268,1
52,1300.0,synful,,0.007434944237918215,1.0,0.0037313432835820895,0,267,1,268,1
53,1400.0,synful,,0.007434944237918215,1.0,0.0037313432835820895,0,267,1,268,1
54,1500.0,synful,,0.007434944237918215,1.0,0.0037313432835820895,0,267,1,268,1
55,1600.0,synful,,0.007434944237918215,1.0,0.0037313432835820895,0,267,1,268,1
