,score_thr,synapse_collection,annotator,fscore,precision,recall,fpcount,fncount,tpcount,gtcount,predcount
0,0.0,syntist_ffn,alia,0.20212443095599392,0.11423670668953688,0.8763157894736842,2582,47,333,380,2915
1,100.0,syntist_ffn,alia,0.40808344198174706,0.27123050259965337,0.8236842105263158,841,67,313,380,1154
2,200.0,syntist_ffn,alia,0.4907183212267958,0.3538998835855646,0.8,555,76,304,380,859
3,300.0,syntist_ffn,alia,0.54,0.4125,0.781578947368421,423,83,297,380,720
4,400.0,syntist_ffn,alia,0.5836653386454183,0.46955128205128205,0.7710526315789473,331,87,293,380,624
5,500.0,syntist_ffn,alia,0.6175514626218851,0.5248618784530387,0.75,258,95,285,380,543
6,600.0,syntist_ffn,alia,0.6444954128440367,0.5711382113821138,0.7394736842105263,211,99,281,380,492
7,700.0,syntist_ffn,alia,0.6642335766423358,0.6176470588235294,0.718421052631579,169,107,273,380,442
8,800.0,syntist_ffn,alia,0.6767676767676767,0.6504854368932039,0.7052631578947368,144,112,268,380,412
9,900.0,syntist_ffn,alia,0.6709844559585493,0.6607142857142857,0.6815789473684211,133,121,259,380,392
10,1000.0,syntist_ffn,alia,0.6711229946524064,0.6820652173913043,0.6605263157894737,117,129,251,380,368
11,2000.0,syntist_ffn,alia,0.6370839936608558,0.8007968127490039,0.5289473684210526,50,179,201,380,251
12,3000.0,syntist_ffn,alia,0.561278863232682,0.8633879781420765,0.41578947368421054,25,222,158,380,183
13,4000.0,syntist_ffn,alia,0.4431372549019608,0.8692307692307693,0.29736842105263156,17,267,113,380,130
14,5000.0,syntist_ffn,alia,0.3621052631578948,0.9052631578947369,0.22631578947368422,9,294,86,380,95
15,6000.0,syntist_ffn,alia,0.27354260089686094,0.9242424242424242,0.16052631578947368,5,319,61,380,66
16,7000.0,syntist_ffn,alia,0.21860465116279068,0.94,0.12368421052631579,3,333,47,380,50
17,8000.0,syntist_ffn,alia,0.17619047619047618,0.925,0.09736842105263158,3,343,37,380,40
18,9000.0,syntist_ffn,alia,0.13202933985330073,0.9310344827586207,0.07105263157894737,2,353,27,380,29
19,10000.0,syntist_ffn,alia,0.095,0.95,0.05,1,361,19,380,20
20,11000.0,syntist_ffn,alia,0.07575757575757575,0.9375,0.039473684210526314,1,365,15,380,16
21,12000.0,syntist_ffn,alia,0.046153846153846156,0.9,0.02368421052631579,1,371,9,380,10
22,13000.0,syntist_ffn,alia,0.031088082901554404,1.0,0.015789473684210527,0,374,6,380,6
23,14000.0,syntist_ffn,alia,0.025974025974025976,1.0,0.013157894736842105,0,375,5,380,5
24,15000.0,syntist_ffn,alia,0.01566579634464752,1.0,0.007894736842105263,0,377,3,380,3
25,16000.0,syntist_ffn,alia,0.010471204188481674,1.0,0.005263157894736842,0,378,2,380,2
26,0.0,synful,alia,0.7191011235955056,0.684085510688836,0.7578947368421053,133,92,288,380,421
27,10.0,synful,alia,0.7224334600760456,0.6968215158924206,0.75,124,95,285,380,409
28,20.0,synful,alia,0.7291666666666666,0.7216494845360825,0.7368421052631579,108,100,280,380,388
29,30.0,synful,alia,0.7245989304812834,0.7364130434782609,0.7131578947368421,97,109,271,380,368
