,score_thr,synapse_collection,annotator,fscore,precision,recall,fpcount,fncount,tpcount,gtcount,predcount
0,0.0,synful,alia,0.6832740213523131,0.6378737541528239,0.735632183908046,109,69,192,261,301
1,10.0,synful,alia,0.6931407942238267,0.6552901023890785,0.735632183908046,101,69,192,261,293
2,20.0,synful,alia,0.6913123844731976,0.6678571428571428,0.7164750957854407,93,74,187,261,280
3,30.0,synful,alia,0.7034220532319392,0.6981132075471698,0.7088122605363985,80,76,185,261,265
4,40.0,synful,alia,0.7036328871892924,0.7022900763358778,0.7049808429118773,78,77,184,261,262
5,50.0,synful,alia,0.6953125,0.7091633466135459,0.6819923371647509,73,83,178,261,251
6,60.0,synful,alia,0.6877470355731226,0.710204081632653,0.6666666666666666,71,87,174,261,245
7,70.0,synful,alia,0.6951219512195121,0.7402597402597403,0.6551724137931034,60,90,171,261,231
8,80.0,synful,alia,0.6956521739130436,0.7567567567567568,0.6436781609195402,54,93,168,261,222
9,90.0,synful,alia,0.6916666666666667,0.7579908675799086,0.6360153256704981,53,95,166,261,219
10,100.0,synful,alia,0.6751592356687899,0.7571428571428571,0.6091954022988506,51,102,159,261,210
11,200.0,synful,alia,0.6282973621103118,0.8397435897435898,0.5019157088122606,25,130,131,261,156
12,300.0,synful,alia,0.5243243243243244,0.8899082568807339,0.3716475095785441,12,164,97,261,109
13,400.0,synful,alia,0.40119760479041916,0.9178082191780822,0.2567049808429119,6,194,67,261,73
14,500.0,synful,alia,0.28664495114006516,0.9565217391304348,0.1685823754789272,2,217,44,261,46
15,600.0,synful,alia,0.22372881355932203,0.9705882352941176,0.12643678160919541,1,228,33,261,34
16,700.0,synful,alia,0.16140350877192983,0.9583333333333334,0.08812260536398467,1,238,23,261,24
17,800.0,synful,alia,0.10869565217391304,1.0,0.05747126436781609,0,246,15,261,15
18,900.0,synful,alia,0.08088235294117647,1.0,0.0421455938697318,0,250,11,261,11
19,1000.0,synful,alia,0.05947955390334572,1.0,0.03065134099616858,0,253,8,261,8
20,1100.0,synful,alia,0.03759398496240601,1.0,0.019157088122605363,0,256,5,261,5
21,1200.0,synful,alia,0.03759398496240601,1.0,0.019157088122605363,0,256,5,261,5
22,1300.0,synful,alia,0.022727272727272724,1.0,0.011494252873563218,0,258,3,261,3
23,1400.0,synful,alia,0.01520912547528517,1.0,0.007662835249042145,0,259,2,261,2
24,1500.0,synful,alia,0.007633587786259542,1.0,0.0038314176245210726,0,260,1,261,1
25,1600.0,synful,alia,0.007633587786259542,1.0,0.0038314176245210726,0,260,1,261,1
26,1700.0,synful,alia,0.007633587786259542,1.0,0.0038314176245210726,0,260,1,261,1
27,1800.0,synful,alia,0.007633587786259542,1.0,0.0038314176245210726,0,260,1,261,1
28,1900.0,synful,alia,0.007633587786259542,1.0,0.0038314176245210726,0,260,1,261,1
29,2000.0,synful,alia,0.007633587786259542,1.0,0.0038314176245210726,0,260,1,261,1
30,2100.0,synful,alia,0.007633587786259542,1.0,0.0038314176245210726,0,260,1,261,1
31,2200.0,synful,alia,0.007633587786259542,1.0,0.0038314176245210726,0,260,1,261,1
32,2300.0,synful,alia,0.007633587786259542,1.0,0.0038314176245210726,0,260,1,261,1
33,2400.0,synful,alia,0.007633587786259542,1.0,0.0038314176245210726,0,260,1,261,1
34,2500.0,synful,alia,0.007633587786259542,1.0,0.0038314176245210726,0,260,1,261,1
35,2600.0,synful,alia,0.007633587786259542,1.0,0.0038314176245210726,0,260,1,261,1
36,2700.0,synful,alia,0.007633587786259542,1.0,0.0038314176245210726,0,260,1,261,1
37,2800.0,synful,alia,0.007633587786259542,1.0,0.0038314176245210726,0,260,1,261,1
38,2900.0,synful,alia,0.007633587786259542,1.0,0.0038314176245210726,0,260,1,261,1
39,3000.0,synful,alia,0.007633587786259542,1.0,0.0038314176245210726,0,260,1,261,1
40,3100.0,synful,alia,0.007633587786259542,1.0,0.0038314176245210726,0,260,1,261,1
41,3200.0,synful,alia,0.007633587786259542,1.0,0.0038314176245210726,0,260,1,261,1
42,3300.0,synful,alia,0.007633587786259542,1.0,0.0038314176245210726,0,260,1,261,1
43,0.0,syntist_ffn,alia,0.19824561403508772,0.11193660227835563,0.8659003831417624,1793,35,226,261,2019
44,100.0,syntist_ffn,alia,0.3776223776223776,0.24462061155152887,0.8275862068965517,667,45,216,261,883
45,200.0,syntist_ffn,alia,0.457204767063922,0.3187311178247734,0.8084291187739464,451,50,211,261,662
46,300.0,syntist_ffn,alia,0.5093167701863353,0.37683823529411764,0.7854406130268199,339,56,205,261,544
47,400.0,syntist_ffn,alia,0.5437415881561238,0.4190871369294606,0.7739463601532567,280,59,202,261,482
48,500.0,syntist_ffn,alia,0.5843023255813954,0.4707259953161593,0.7701149425287356,226,60,201,261,427
49,600.0,syntist_ffn,alia,0.6036585365853658,0.5012658227848101,0.7586206896551724,197,63,198,261,395
50,700.0,syntist_ffn,alia,0.625,0.5371900826446281,0.7471264367816092,168,66,195,261,363
51,800.0,syntist_ffn,alia,0.6289517470881862,0.5558823529411765,0.7241379310344828,151,72,189,261,340
52,900.0,syntist_ffn,alia,0.6504347826086957,0.5955414012738853,0.7164750957854407,127,74,187,261,314
53,1000.0,syntist_ffn,alia,0.6559139784946237,0.6161616161616161,0.7011494252873564,114,78,183,261,297
54,2000.0,syntist_ffn,alia,0.611353711790393,0.7106598984771574,0.5363984674329502,57,121,140,261,197
55,3000.0,syntist_ffn,alia,0.5536159600997506,0.7928571428571428,0.42528735632183906,29,150,111,261,140
56,4000.0,syntist_ffn,alia,0.47513812154696133,0.8514851485148515,0.32950191570881227,15,175,86,261,101
57,5000.0,syntist_ffn,alia,0.3916913946587537,0.868421052631579,0.25287356321839083,10,195,66,261,76
58,6000.0,syntist_ffn,alia,0.29936305732484075,0.8867924528301887,0.18007662835249041,6,214,47,261,53
